truth,pred,Freq
ascending_stairs,ascending_stairs,768
cycling,ascending_stairs,0
descending_stairs,ascending_stairs,20
ironing,ascending_stairs,0
lying,ascending_stairs,4
nordic_walking,ascending_stairs,0
rope_jumping,ascending_stairs,0
running,ascending_stairs,2
sitting,ascending_stairs,0
standing,ascending_stairs,0
vacuum_cleaning,ascending_stairs,20
walking,ascending_stairs,19
ascending_stairs,cycling,0
cycling,cycling,1132
descending_stairs,cycling,0
ironing,cycling,0
lying,cycling,0
nordic_walking,cycling,0
rope_jumping,cycling,0
running,cycling,0
sitting,cycling,4
standing,cycling,0
vacuum_cleaning,cycling,0
walking,cycling,0
ascending_stairs,descending_stairs,8
cycling,descending_stairs,0
descending_stairs,descending_stairs,671
ironing,descending_stairs,0
lying,descending_stairs,1
nordic_walking,descending_stairs,13
rope_jumping,descending_stairs,0
running,descending_stairs,0
sitting,descending_stairs,1
standing,descending_stairs,4
vacuum_cleaning,descending_stairs,8
walking,descending_stairs,10
ascending_stairs,ironing,14
cycling,ironing,7
descending_stairs,ironing,8
ironing,ironing,1723
lying,ironing,2
nordic_walking,ironing,8
rope_jumping,ironing,0
running,ironing,0
sitting,ironing,11
standing,ironing,23
vacuum_cleaning,ironing,29
walking,ironing,4
ascending_stairs,lying,0
cycling,lying,0
descending_stairs,lying,0
ironing,lying,0
lying,lying,1391
nordic_walking,lying,0
rope_jumping,lying,0
running,lying,0
sitting,lying,12
standing,lying,0
vacuum_cleaning,lying,0
walking,lying,0
ascending_stairs,nordic_walking,0
cycling,nordic_walking,0
descending_stairs,nordic_walking,0
ironing,nordic_walking,0
lying,nordic_walking,0
nordic_walking,nordic_walking,1278
rope_jumping,nordic_walking,0
running,nordic_walking,4
sitting,nordic_walking,0
standing,nordic_walking,0
vacuum_cleaning,nordic_walking,0
walking,nordic_walking,2
ascending_stairs,rope_jumping,0
cycling,rope_jumping,1
descending_stairs,rope_jumping,0
ironing,rope_jumping,0
lying,rope_jumping,0
nordic_walking,rope_jumping,0
rope_jumping,rope_jumping,212
running,rope_jumping,1
sitting,rope_jumping,0
standing,rope_jumping,2
vacuum_cleaning,rope_jumping,0
walking,rope_jumping,0
ascending_stairs,running,0
cycling,running,0
descending_stairs,running,0
ironing,running,0
lying,running,10
nordic_walking,running,0
rope_jumping,running,0
running,running,615
sitting,running,2
standing,running,0
vacuum_cleaning,running,0
walking,running,0
ascending_stairs,sitting,12
cycling,sitting,2
descending_stairs,sitting,6
ironing,sitting,1
lying,sitting,11
nordic_walking,sitting,22
rope_jumping,sitting,0
running,sitting,8
sitting,sitting,1284
standing,sitting,119
vacuum_cleaning,sitting,7
walking,sitting,8
ascending_stairs,standing,33
cycling,standing,5
descending_stairs,standing,34
ironing,standing,26
lying,standing,11
nordic_walking,standing,0
rope_jumping,standing,0
running,standing,11
sitting,standing,22
standing,standing,1244
vacuum_cleaning,standing,15
walking,standing,18
ascending_stairs,vacuum_cleaning,7
cycling,vacuum_cleaning,0
descending_stairs,vacuum_cleaning,13
ironing,vacuum_cleaning,8
lying,vacuum_cleaning,9
nordic_walking,vacuum_cleaning,0
rope_jumping,vacuum_cleaning,0
running,vacuum_cleaning,0
sitting,vacuum_cleaning,10
standing,vacuum_cleaning,8
vacuum_cleaning,vacuum_cleaning,1224
walking,vacuum_cleaning,3
ascending_stairs,walking,0
cycling,walking,0
descending_stairs,walking,3
ironing,walking,0
lying,walking,0
nordic_walking,walking,0
rope_jumping,walking,0
running,walking,0
sitting,walking,0
standing,walking,0
vacuum_cleaning,walking,0
walking,walking,1676
