feature,importance
ankle_acc16_x_mean,0.06309895007180899
ankle_gyro_z_sd,0.06053514294867243
ankle_gyro_z_rms,0.055488700193500634
ankle_acc16_y_sd,0.049491585266705905
ankle_acc16_x_sd,0.04572377607774634
hand_temp_mean,0.04100392674695991
hand_acc16_y_rms,0.037442540062339894
hand_temp_max,0.037439981945377745
hand_temp_rms,0.037279685704743534
ankle_acc16_x_iqr,0.036850036288536926
chest_acc16_z_med,0.03527186124686132
chest_acc16_z_mean,0.03497160282949009
hand_temp_med,0.03473425062627598
hand_acc16_x_rms,0.034626249544240296
ankle_acc16_x_rms,0.033844717448712654
chest_acc16_y_max,0.03353145209608888
ankle_acc16_x_min,0.03309578521213941
ankle_acc16_x_med,0.03297138653743446
ankle_gyro_z_max,0.03196870432589636
hand_acc16_x_med,0.03192707262933069
hand_temp_min,0.03145632327009764
ankle_acc16_y_rms,0.02863891009278312
chest_acc16_y_min,0.028442050450503763
hand_acc16_x_mean,0.026527967042967435
chest_acc16_y_sd,0.02576854248141299
ankle_gyro_x_iqr,0.024696488613134195
ankle_gyro_z_iqr,0.024317556107838173
chest_mag_x_max,0.024289604779891043
hand_gyro_z_iqr,0.023710035151135445
chest_acc16_y_rms,0.02364889423280336
chest_mag_y_med,0.022296938882909356
chest_acc16_z_min,0.021557674825507113
ankle_gyro_z_min,0.021159341210760022
chest_acc16_y_iqr,0.021023854367622944
ankle_acc16_z_sd,0.019662768280720742
hand_acc16_y_sd,0.01958273400564813
chest_mag_x_min,0.01949542083083083
chest_acc16_z_max,0.019149201736504102
chest_mag_y_mean,0.01869436399992777
chest_temp_rms,0.017831184738361358
chest_temp_mean,0.017570312898063753
chest_mag_y_max,0.01735631197400762
chest_mag_y_rms,0.01730387208800098
ankle_gyro_x_rms,0.017235021855850022
hand_acc16_z_mean,0.01723425606896659
ankle_acc16_x_max,0.01714916440015595
chest_mag_x_mean,0.01683636748174797
ankle_mag_x_max,0.01672797448073886
chest_acc16_z_rms,0.016094294261969493
chest_mag_x_med,0.01608937099206258
hand_acc16_z_med,0.015863459536677067
chest_temp_max,0.01574063096707355
chest_mag_z_mean,0.015672494438173125
hand_acc16_z_max,0.01562504571732943
ankle_gyro_x_sd,0.01523275630384566
ankle_mag_z_min,0.015068443600587691
chest_temp_med,0.014939709779757495
chest_mag_y_min,0.01485372961488392
chest_temp_min,0.014703377710844534
chest_acc16_y_mean,0.014589153775632866
ankle_gyro_y_min,0.014543455624373345
hand_acc16_y_iqr,0.014269921280962806
chest_mag_z_med,0.014262542325684842
hand_gyro_y_iqr,0.01360841119524042
chest_acc16_y_med,0.013470159029257132
ankle_mag_x_mean,0.013293294343355005
ankle_mag_x_med,0.013276329430877434
ankle_mag_x_min,0.012964344244884535
ankle_acc16_y_max,0.012892152966885926
chest_gyro_z_sd,0.012863366992288102
chest_gyro_y_sd,0.01252162592677073
hand_acc16_y_max,0.012325854836090864
chest_acc16_x_rms,0.012280113615924746
chest_mag_z_max,0.01197857387047521
hand_gyro_x_iqr,0.011919107792057494
hand_mag_x_mean,0.011513736019971821
ankle_acc16_y_min,0.01137924339358753
chest_mag_x_sd,0.011218455989968965
ankle_acc16_y_iqr,0.011216728246191052
chest_gyro_z_iqr,0.011126575597774553
ankle_mag_x_rms,0.011020639459970312
hand_mag_x_rms,0.01086801103456982
hand_mag_x_med,0.010670830171407472
hand_acc16_z_rms,0.010212902938797183
chest_gyro_y_rms,0.010179884521244843
hand_acc16_x_iqr,0.01011579255403035
chest_gyro_y_iqr,0.009791793073367585
chest_gyro_z_rms,0.009421941438099546
hand_acc16_y_mean,0.009373650627016717
hand_mag_x_max,0.0093703428679836
chest_mag_z_min,0.009302095162893322
ankle_temp_mean,0.009222553060647625
ankle_acc16_z_min,0.009120403765036367
chest_gyro_y_min,0.009061963091838906
hand_mag_z_min,0.008999797493143
ankle_gyro_x_max,0.008973642202078873
ankle_acc16_y_med,0.008970956496536925
ankle_temp_max,0.008923159615608632
ankle_temp_rms,0.008818560279373822
hand_acc16_x_max,0.00865872268705813
ankle_temp_min,0.008593098713911018
hand_acc16_x_min,0.008558853940886416
hand_mag_x_min,0.008443612878384478
ankle_acc16_z_rms,0.008337224389506879
chest_gyro_x_sd,0.008302702975750878
ankle_mag_z_mean,0.008223108279911495
chest_gyro_x_rms,0.008208580526218166
chest_gyro_x_max,0.008014136485738281
hand_acc16_y_med,0.0077367082924928825
ankle_temp_med,0.007576567249098216
chest_gyro_z_max,0.007559943425725501
ankle_mag_z_med,0.007514273024658544
chest_gyro_y_mean,0.007401624819507972
ankle_gyro_x_mean,0.007250060793055175
chest_mag_x_rms,0.007069230931678394
hand_gyro_z_sd,0.0070333898300979445
chest_mag_z_rms,0.006669411688584682
ankle_mag_z_max,0.006642958176260319
hand_gyro_z_rms,0.006634855586769807
chest_gyro_y_max,0.006580627608391532
chest_acc16_z_sd,0.006459015058616914
ankle_gyro_y_iqr,0.006454483548810726
chest_mag_x_iqr,0.006189927889309531
hand_acc16_z_min,0.006032922023257693
chest_acc16_x_min,0.005973577417563538
chest_acc16_x_sd,0.005955530904608941
chest_gyro_z_min,0.005893583378727748
chest_gyro_x_iqr,0.005845311222053723
chest_acc16_x_iqr,0.005795953468000018
ankle_mag_y_sd,0.005546634998692035
ankle_mag_z_rms,0.005487754045548374
ankle_gyro_x_min,0.0051587934077599006
hand_mag_z_rms,0.005034457824483385
hand_acc16_x_sd,0.004899503370996342
ankle_acc16_y_mean,0.004572352544882951
hand_mag_y_iqr,0.0045716576662976705
ankle_acc16_z_max,0.004533545814825008
ankle_gyro_y_rms,0.00451453403356155
ankle_acc16_z_mean,0.004507925402811761
ankle_mag_y_max,0.004461652917438921
ankle_gyro_y_sd,0.0044531171140237006
hand_mag_z_mean,0.004436338171282284
chest_gyro_y_med,0.00430806772841276
hand_mag_z_med,0.004248136797002068
hand_mag_x_iqr,0.004084893095599577
ankle_mag_y_iqr,0.004058230759383211
ankle_mag_y_min,0.003996027453058654
hand_gyro_y_sd,0.003911329418756393
chest_acc16_z_iqr,0.0038681570370520456
chest_acc16_x_med,0.0037775394844909906
hand_acc16_y_min,0.003574876465650698
hand_acc16_z_sd,0.0035597914967701394
chest_acc16_x_mean,0.003555617847443642
hand_acc16_z_iqr,0.003534121382780168
ankle_mag_y_rms,0.003514476300255224
hand_gyro_y_rms,0.003502455366326296
ankle_mag_z_sd,0.0034962468946664192
hand_gyro_x_rms,0.0034942472455358697
hand_mag_y_min,0.0034780212092853143
ankle_gyro_y_mean,0.003435622674215455
hand_gyro_z_max,0.0032786410973567035
hand_mag_y_mean,0.0032595040452741432
chest_acc16_x_max,0.003207048199974395
hand_mag_z_max,0.0031210555807743502
hand_gyro_x_sd,0.003091101025695341
ankle_acc16_z_iqr,0.0030563626730662264
hand_mag_y_med,0.002999000227884503
ankle_mag_x_sd,0.002846089475166242
ankle_acc16_z_med,0.0028266282394146325
hand_gyro_z_min,0.00279830055899615
ankle_gyro_z_med,0.002779507024623915
chest_mag_y_sd,0.0027211355585613824
ankle_gyro_y_max,0.002689826976788995
ankle_mag_y_med,0.002559912306568477
hand_mag_y_sd,0.0025425576785600436
hand_mag_z_sd,0.002520501698839528
hand_gyro_x_mean,0.0023494706946928425
ankle_mag_y_mean,0.0022051869008557516
hand_gyro_x_med,0.0021943314908156497
hand_mag_z_iqr,0.0021046502226914417
ankle_gyro_x_med,0.0019340248583495038
chest_gyro_x_min,0.0019019529497913898
hand_mag_x_sd,0.0018791638486928245
ankle_mag_z_iqr,0.0018603702360139218
hand_gyro_y_max,0.0016474893813054328
hand_mag_y_max,0.0015590768883249272
hand_mag_y_rms,0.0015239079836999595
chest_gyro_z_mean,0.001510803829766989
ankle_mag_x_iqr,0.0015035544708238114
hand_gyro_z_med,0.0014962107795105537
ankle_gyro_z_mean,0.001415576640448418
hand_gyro_y_med,0.0013792281288978676
chest_mag_y_iqr,0.001368190352778995
ankle_gyro_y_med,0.0013652330044745798
hand_gyro_x_min,0.0013143988162976784
chest_gyro_z_med,0.0012931230827682536
hand_gyro_y_mean,0.0010315590526728652
chest_mag_z_sd,9.772628444391742e-4
chest_mag_z_iqr,9.628069272008216e-4
hand_gyro_y_min,9.429572902220659e-4
chest_gyro_x_med,7.914211397047502e-4
chest_gyro_x_mean,7.735146250801289e-4
hand_gyro_x_max,6.99289417140769e-4
hand_gyro_z_mean,6.81037245440061e-4
ankle_temp_sd,1.0320325968523059e-4
chest_temp_sd,7.849425849742686e-5
hand_temp_sd,7.276578841516085e-5
ankle_temp_iqr,2.7184711503461524e-5
chest_temp_iqr,1.9760350463192687e-5
hand_temp_iqr,1.646235883277808e-5
