model,split,accuracy,macro_f1,num.trees,mtry,min.node.size,holdout_subject
ranger_rf_loso,loso_subj_101,0.7543294401933145,0.8529301122459242,200,14,1,101
ranger_rf_loso,loso_subj_103,0.8781902552204176,0.8996308938649428,200,14,1,103
ranger_rf_loso,loso_subj_104,0.937799043062201,0.9431057375633202,200,14,1,104
ranger_rf_loso,loso_subj_106,0.8824003221908981,0.8756270275590475,200,14,1,106
ranger_rf_loso,loso_subj_107,0.8458874458874459,0.841007588362969,200,14,1,107
ranger_rf_loso,loso_subj_108,0.7412667946257198,0.7776802195747772,200,14,1,108
ranger_rf_loso,loso_subj_101,0.7446637132501007,0.840546894648664,200,14,5,101
ranger_rf_loso,loso_subj_103,0.8996519721577726,0.9078427689815595,200,14,5,103
ranger_rf_loso,loso_subj_104,0.9425837320574163,0.9467227605515491,200,14,5,104
ranger_rf_loso,loso_subj_106,0.8787756745871929,0.8723663778978464,200,14,5,106
ranger_rf_loso,loso_subj_107,0.8268398268398268,0.8205587018955571,200,14,5,107
ranger_rf_loso,loso_subj_108,0.7378119001919385,0.7747208585744976,200,14,5,108
ranger_rf_loso,loso_subj_101,0.7466774063632703,0.8450697637691273,200,14,10,101
ranger_rf_loso,loso_subj_103,0.8863109048723898,0.8985071109483049,200,14,10,103
ranger_rf_loso,loso_subj_104,0.948238364506307,0.9510377982346925,200,14,10,104
ranger_rf_loso,loso_subj_106,0.8747482883608538,0.8682564789291461,200,14,10,106
ranger_rf_loso,loso_subj_107,0.8021645021645022,0.7906801806595408,200,14,10,107
ranger_rf_loso,loso_subj_108,0.7408829174664108,0.7777806113418948,200,14,10,108
ranger_rf_loso,loso_subj_101,0.5875956504228755,0.6694920459720678,200,70,1,101
ranger_rf_loso,loso_subj_103,0.7006960556844548,0.6775294613202187,200,70,1,103
ranger_rf_loso,loso_subj_104,0.9069160504567203,0.9126154191766582,200,70,1,104
ranger_rf_loso,loso_subj_106,0.8159484494563028,0.8103565721718359,200,70,1,106
ranger_rf_loso,loso_subj_107,0.8437229437229438,0.8056971595247251,200,70,1,107
ranger_rf_loso,loso_subj_108,0.7151631477927063,0.7978834937844196,200,70,1,108
ranger_rf_loso,loso_subj_101,0.5896093435360451,0.6723571865033147,200,70,5,101
ranger_rf_loso,loso_subj_103,0.7018561484918794,0.6791404877351004,200,70,5,103
ranger_rf_loso,loso_subj_104,0.9138755980861244,0.9188977388031412,200,70,5,104
ranger_rf_loso,loso_subj_106,0.7857430527587596,0.7912706929887172,200,70,5,106
ranger_rf_loso,loso_subj_107,0.8575757575757575,0.8104934370926471,200,70,5,107
ranger_rf_loso,loso_subj_108,0.7051823416506718,0.7787493639851522,200,70,5,108
ranger_rf_loso,loso_subj_101,0.5610149013290374,0.6521878826006098,200,70,10,101
ranger_rf_loso,loso_subj_103,0.6925754060324826,0.6647324727758077,200,70,10,103
ranger_rf_loso,loso_subj_104,0.898651587646803,0.9047568342384003,200,70,10,104
ranger_rf_loso,loso_subj_106,0.7869512686266613,0.7823353897828716,200,70,10,106
ranger_rf_loso,loso_subj_107,0.8376623376623377,0.7920215984648744,200,70,10,107
ranger_rf_loso,loso_subj_108,0.7182341650671785,0.8091613993236014,200,70,10,108
ranger_rf_loso,loso_subj_101,0.7535239629480467,0.8507307596652628,400,14,1,101
ranger_rf_loso,loso_subj_103,0.8903712296983759,0.9040773834783842,400,14,1,103
ranger_rf_loso,loso_subj_104,0.9438886472379295,0.9481564843249642,400,14,1,104
ranger_rf_loso,loso_subj_106,0.8936770036246476,0.8873040240398048,400,14,1,106
ranger_rf_loso,loso_subj_107,0.8432900432900433,0.8400415915635312,400,14,1,107
ranger_rf_loso,loso_subj_108,0.7358925143953935,0.7690093509605698,400,14,1,108
ranger_rf_loso,loso_subj_101,0.7515102698348771,0.8485249816222997,400,14,5,101
ranger_rf_loso,loso_subj_103,0.9019721577726219,0.9106851980254228,400,14,5,103
ranger_rf_loso,loso_subj_104,0.9456285341452806,0.9491895253952333,400,14,5,104
ranger_rf_loso,loso_subj_106,0.9134111961337092,0.9071330592677258,400,14,5,106
ranger_rf_loso,loso_subj_107,0.8242424242424242,0.8179430422533644,400,14,5,107
