num.trees,mtry,min.node.size,loso_accuracy,loso_macro_f1
400,14,1,0.8434405668657394,0.8665532656720861
200,14,1,0.8399788835299995,0.8649969298618301
400,14,10,0.8392883059773781,0.8606482770441807
200,14,5,0.8383878031807079,0.8604597270916123
400,14,5,0.8345663299069621,0.8570531864195814
200,14,10,0.8331703972889557,0.8552219906471178
400,70,1,0.7679030696491005,0.7877170119312003
400,70,5,0.7664328224396962,0.7867120802011192
200,70,1,0.7616737162560006,0.7789290253249875
200,70,5,0.7589737070165397,0.7751514845180121
400,70,10,0.7557813459887968,0.7744367331202356
200,70,10,0.7491816110607501,0.7675325961976942
